3792;1586,2028
5540;5926
5539;5925
5538;5910,5928
5541;5918
3805;1593
5567;5931
5543;5932
5545;5933
5566;5930
5565;5934
5554;2032
5555;3958
5564;1594
3954;5937
3953;5935
3785;1591,4423,4422
5551;5914
5552;4413,5913
5550;5912
5553;1590
5556;4407
5557;4424,4425
5561;1602,4419
3783;4418
3765;1641
5419;5791
5420;5792
3771;5789
5421;5793
5422;5794
5424;5784
5423;5783
3779;1605
3781;4414
5604;1608
3753;1625
3752;5852
5389;5851
5390;5854
3755;1632
3756;5850
5393;5855
3770;1649
5433;4797
5435;4800,4799
5434;4798
3774;2044
5436;5807
3776;1655
5429;2047
5428;1656
3768;5812
5563;1595
5562;5939
3804;5936
5544;2030
5546;2031
5542;5915,1592
3791;3959
5548;5916
3790;4410
3789;1588
5549;4408
5547;4409
3788;5909
3784;1599,5943,4416
5560;4415
5559;2034
3782;5942,1597
3780;4426
5451;4417
5450;5940
5452;1598
5455;2035
5453;5941
5454;1604
3787;1596,5944
5530;5904
3786;5938,4421
5558;4420,2033
5498;1673
3812;5901
5499;5902
5497;5891
5495;5881
3809;2036
5500;1672
3808;4806
5496;5882
5603;1619
5574;1603
3826;5753
5572;5754
3825;5755
3856;5757
3827;1687
5615;5745
3863;1681,1682,5748
3862;1686
3834;1695,5729
5573;2055
5601;3704
5617;5743
5605;5780
5616;1688
3858;3696
3854;3701
5606;5756
3857;3697
5602;5738
3855;3702
5610;5740
3831;5735
5611;5739
5628;1685
3861;3700
5609;1689
5607;5744
3859;5758
5608;5759
5622;1611
5621;5752
3860;1617
5620;5746
5623;1680
5626;3699
5627;5747
3865;5750
3867;5763
5624;2065
5625;5760
3868;5953
5575;1690
5576;2054
5578;3706
3830;1698
5579;1694
3835;5730,5737
3833;2101
5600;5736
3866;3698
5613;5742
3853;5741
3852;1693
5580;5731
3828;1692
5571;5963
3829;5734
5570;5732
5598;1691
3837;5733
5581;5721,5947
5582;5725
3838;5726
5585;1699
5595;1697
3836;5727
5596;3703
3844;1696
5594;5728
3841;1705,5700,5702
5587;5948
5586;1704
3840;5701
5588;5952
5584;5718
5583;5717
3839;5719
5634;5699
5635;1713
3850;2060
5636;5692
5633;5698
5640;5689
3849;5690
3847;1714
5637;5688
5643;5685
5638;5687
5641;5684
3848;5713
5639;1716
3846;2059
5642;5950
5644;5686
5647;1715
5646;5683
5645;5708
3845;2058
5568;5714
5531;5945
3802;5921
5534;5920
5532;5962
5442;5811
3775;5808
3817;5810
5457;1657
3815;5813
3816;5814
3767;5815
5439;2046
5438;1650
5443;2045
5441;5805
3814;5809
3793;2039
5481;5824
5493;5880,5878
3811;5879,1665
5491;5877
5494;1678,1666
5489;5876
3810;1664
3806;1671,5898
5504;5900,4805
5505;4807
5503;5899
3807;5896
5501;5897
5502;5892
3801;5874,5875
3798;1662,5869
5526;1663
5511;5873
5507;5895
5509;5883
3851;1677
5510;5884
5508;5885
3800;2037
5516;1670
5515;1669
3813;1651
5462;5823
5483;5825
5525;5868,1661
5528;1674,5867
3795;1645
5482;5804
3794;5822
3820;2038
3819;2040
5512;5872
5513;1676
5514;1679
5519;5893
3799;5889
5520;5888
5521;5890
5518;5886
5517;5894
5522;5887
5523;5871
5527;1667
3797;1668,1675
5524;5870
3769;5817,1648,5816
5427;5821,2043
5426;1658
3803;5786
5425;5795
5430;1642
5445;5785
5448;2048
3772;1643
5449;5787
3773;5790
5431;5806
5440;5796
5444;2042
3778;5788
3777;2041,5803
5446;1647,5797
5447;5799
3796;1646,5798
5529;1654
3766;1634,1637
5437;5819
5398;5818
5397;5820
3952;1633,5863
5396;5862
5392;5860
3754;5853
5391;5960
3822;5959
5394;5864,5861
5418;5826
5386;5849
3751;5846
5387;5848
5411;1636
3760;1630
5406;5832
3763;2052
5402;5827
5401;5829
5403;5834
5404;5830
3764;5828,2051
5399;5865,5866
5395;1631
3762;5859
3761;1638,5858
5409;5831
3750;1621
5415;5844
5407;5833
5408;5835
5405;5836
3757;1628,5857
5400;5856
3759;5839
5416;5840
5410;1629
5388;5843
5414;5845
5413;1635
3758;1627,5838
5412;1626
3748;5847
3749;1623
5382;1622
5383;1624
5384;5958
5381;5842
5385;5957
5466;2050
