
is_city = yes

owner = A90
controller = A90
add_core = A90
add_core = QL1

base_tax = 1
base_production = 1
base_manpower = 2

culture = culture_high_elf
religion = holy_light

hre = no
trade_goods = resource_common_wood


618.1.1 = {
    owner = F54
    controller = F54
    add_core = F54
    religion = irreligious
    remove_core = A90
    add_claim = A58
}

# Rise of the Qiraji
622.1.1 = { 
    owner = G18
    controller = G18
    add_core = G18
    culture = culture_blood_elf
    religion = arcane
    remove_core = F54
    remove_claim = A58
}

# The Burning Crusade
625.1.1 = { 
    owner = B94
    controller = B94
    add_core = B94
    culture = culture_wretched
    religion = shadow
    remove_core = G18
}


# Cataclysm
631.1.1 = { 
    owner = A91
    controller = A91
    add_core = A91
    remove_core = B94
    religion = arcane
}
