
is_city = yes
owner = A10
controller = A10
add_core = A10

base_tax = 2
base_production = 1
base_manpower = 2

culture = culture_lordaeron
religion = holy_light

hre = no
trade_goods = resource_common_fish


605.1.1 = {
    owner = A08
    controller = A08
    add_core = A08
	add_core = A10
}

617.1.1 = { 
    owner = SVH
	controller = SVH
	add_core = SVH
	remove_core = A08
	remove_core = A10
}

# Rise of the Qiraji
622.1.1 = { 
	owner = CRL
	controller = CRL
	add_core = CRL
	add_core = A22
    remove_core = SVH
	
	culture = culture_lordaeron
	religion = scarlet_light
}

# The Shattering
631.1.1 = {
	owner = X01
	controller = X01
	add_core = X01

	culture = culture_demonspawn
	religion = fel
}
